Mask Name,OBJID,Velocity (km/s),Mask Name(Check),OBJID(Check),HI,CO,RA,Dec
M33D2A,215883,-147.0,M33D2A,215883,-131.2732288673171,,23.484625,30.42811111111111
M33D2A,238569,-138.0,M33D2A,238569,-133.93222930030709,-123.59722930030709,23.487374999999997,30.453444444444443
M33D2A,238675,-150.0,M33D2A,238675,-128.13873630011517,,23.478666666666665,30.45475
M33D2A,245768,-138.0,M33D2A,245768,-141.12270649773365,,23.456916666666665,30.46125
M33D2A,246366,-138.0,M33D2A,246366,-144.52254412226307,,23.493374999999997,30.461305555555555
M33D2A,247953,-138.0,M33D2A,247953,-150.15195189538952,,23.495708333333333,30.463666666666665
M33D2A,262694,-165.0,M33D2A,262694,-138.68168591931337,,23.506666666666664,30.476999999999997
M33D2A,265223,-147.0,M33D2A,265223,-133.9010608158543,,23.488166666666665,30.4805
M33D2A,268109,-150.0,M33D2A,268109,-126.23665717535286,-125.79765717535287,23.29725,30.483972222222224
M33D2A,272129,-150.0,M33D2A,272129,-132.84501590942435,-128.06301590942437,23.29725,30.489166666666666
M33D2A,290957,-120.0,M33D2A,290957,-129.19714210636144,,23.309666666666665,30.509666666666668
M33D2A,292067,-138.0,M33D2A,292067,-128.0032177873953,,23.311374999999998,30.510638888888888
M33D2A,11000259,-138.0,M33D2A,11000259,,,23.330366939999998,30.52380277
M33D2A,11000288,-147.0,M33D2A,11000288,,,23.331283604999996,30.53274722
M33D2A,11000311,-138.0,M33D2A,11000311,,,23.338700264999996,30.48983055
M33D2A,11000365,-138.0,M33D2A,11000365,,,23.33040861,30.52735833
M33D2A,11000622,-126.0,M33D2A,11000622,,,23.388825269999998,30.53324722
M33D2A,11000779,-126.0,M33D2A,11000779,,,23.359241939999997,30.51660833
M33D2A,11000958,-126.0,M33D2A,11000958,,,23.342075265,30.504275
M33D2A,11001010,-135.0,M33D2A,11001010,,,23.345366939999995,30.52541388
M33D2A,11002161,-165.0,M33D2A,11002161,,,23.364366929999996,30.48474722
M33D2A,11002328,-126.0,M33D2A,11002328,,,23.383616939999996,30.52408055
M33D2A,11003077,-147.0,M33D2A,11003077,,,23.356658609999997,30.52930277
M33D2A,11003449,-126.0,M33D2A,11003449,,,23.35911693,30.50694166
M33D2A,11009390,-129.0,M33D2A,11009390,,,23.340575265,30.52571944
M33D2A,11012561,-138.0,M33D2A,11012561,,,23.338575269999996,30.52413611
M33D2A,11013854,-138.0,M33D2A,11013854,,,23.39561694,30.52313611
M33D2A,11015180,-129.0,M33D2A,11015180,,,23.389325264999997,30.52499722
M33D2A,11020361,-138.0,M33D2A,11020361,,,23.371408604999996,30.52355277
M33D2A,11029923,-132.0,M33D2A,11029923,,,23.34911694,30.50519166
M33D2A,10000739,-72.0,M33D2A,10000739,,,23.411843324999996,30.46023055
M33D2A,10000938,-132.0,M33D2A,10000938,,,23.39396832,30.50014722
M33D2A,10001247,-126.0,M33D2A,10001247,,,23.408843324999996,30.506175
M33D2A,10002592,-120.0,M33D2A,10002592,,,23.405676659999997,30.492425
M33D2A,10003560,-138.0,M33D2A,10003560,,,23.401384994999997,30.47600833
M33D2A,10003925,-138.0,M33D2A,10003925,,,23.408301659999996,30.51228611
M33D2A,10004026,-132.0,M33D2A,10004026,,,23.407509989999998,30.48111944
M33D2A,10004461,-135.0,M33D2A,10004461,,,23.419759995,30.50700833
M33D2A,10004888,-120.0,M33D2A,10004888,,,23.429634989999997,30.48675833
M33D2A,10014984,-144.0,M33D2A,10014984,,,23.410593329999998,30.47281388
M33D2A,10020393,-126.0,M33D2A,10020393,,,23.408926665,30.49078611
M33D2A,12001048,-167.99999999999997,M33D2A,12001048,,,23.559047774999996,30.45256388
M33D2A,12002008,-147.0,M33D2A,12002008,,,23.56938111,30.47064722
M33D2A,12005774,-171.0,M33D2A,12005774,,,23.555172765,30.43406388
M33D2A,12007864,-162.0,M33D2A,12007864,,,23.572589429999997,30.46889722
M33D2B,10011502,-135.0,M33D2B,10011502,,,23.405051654999998,30.45353611
M33D2B,5000429,-126.0,M33D2B,5000429,,,23.311363049999997,30.47532499
M33D2B,5001807,-89.99999999999999,M33D2B,5001807,,,23.30723805,30.47657499
M33D2B,5003845,-147.0,M33D2B,5003845,,,23.304779715,30.47635277
M33D2B,180396,-138.0,M33D2B,180396,-144.91695282712482,,23.587124999999997,30.388388888888887
